"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Mbg ank kuh selalu mntp","46","17","2026-05-22T09:21:49.000Z","zankids5","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7562913025226572807","7642643884741477127","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/463271cfa129aa2b275200d6699d81b3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4c8b21c6&x-expires=1781874000&x-signature=7%2FHhSGHWE%2Bqv66RQAQQFHXBqrow%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"program.president paling gagal total","5416","92","2026-04-16T01:46:27.000Z","ka_cys","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7491601637204018197","7629167463724417813","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/334f77b341553507548c9815b2cac9d7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d09713d8&x-expires=1781874000&x-signature=g8fo65FRi4BWCNnaZ8D%2BEojJ0fs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"bersukur aja ...sgtu jg dpat.
anak saya sekolh belum dapet ..","0","7","2026-06-16T22:07:16.000Z","qorie439","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7425161534990828549","7652118216311964434","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/95d4d9265839405f7b52178372d209b5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1f18b0cb&x-expires=1781874000&x-signature=EnKMF2OILp5uQxOLSfAmvObqrGU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"MBG anakku disemarang","3","1","2026-06-12T14:09:09.000Z","rina.andriyani949","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7477921886731879440","7650510729665495828","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/46cdc9082b21f34011ae1004174e1441~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6d4b708d&x-expires=1781874000&x-signature=pXFk21Wiv%2BwsJ%2BWCRtRz4ntk8jk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"ditmpt anakku SMAN Alhamdulillah bener","10","1","2026-06-05T15:13:13.000Z","eviana.eviana77","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7508308995090891783","7647928823438328584","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/344aabb664927e9ae5bd037428122b2a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9397490a&x-expires=1781874000&x-signature=XKZDd2ephxZ7cVhe96o%2BvWdcKr4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"bener2 keterlaluan","219","3","2026-04-15T10:21:37.000Z","intanshop123_","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7044473045377156098","7628929111877518100","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/2b35445596196d00b46480a94d0d60e0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0e651ba9&x-expires=1781874000&x-signature=F6vRKGww4%2BVVVS1Y9osDHKieRYs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"ini mbg buat suamiku🤭","8","3","2026-04-17T06:40:38.000Z","maura_rose8","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6802784038513099777","7629614367742771988","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/165f1f7998077114fb1e1bfd4544d69c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2fcf77d9&x-expires=1781874000&x-signature=KH5k1HXe4E%2BodJsg7vz3mOqahOc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"lagi bagus RMT","96","21","2026-05-25T15:46:42.000Z","afzaey","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6670290922553720833","7643856332467307272","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/34b161304cbc4f7d60adfa79893f8ae5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=30e91112&x-expires=1781874000&x-signature=qJGHD5lnvIjQ8gkRIAEdQEt4Qww%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"lebih bergizi sesajen 🤣🤣🤣🤣","3580","48","2026-04-16T02:00:11.000Z","anak_anjing388","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7380230190151549958","7629171002590036743","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/431d633f4031537c19d754f483d4b981~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=98a12d9a&x-expires=1781874000&x-signature=UfIlBWk5GgLxLsj5Tqzf1sjocu0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"gizinya dmn ?","15","6","2026-05-24T16:05:14.000Z","chikkapedro","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6585429593149341697","7643490050780529416","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/10f5a14a30cd2c2477cd6cb5b15ca1fe~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8e97c2af&x-expires=1781874000&x-signature=q%2FlFEtSIRG4r5RJ7uy4Zj8m%2Bt%2BI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
