date,text,platform,cleaned_text,tokenized,normalized,no_stopwords,stemmed,final_text,sentiment_score,sentiment
2026-05-01T13:33:09.000Z,"itu denger ga si pada bilang ""TIDAKKKK""",tiktok,itu denger ga si pada bilang tidakkkk,"['itu', 'denger', 'ga', 'si', 'pada', 'bilang', 'tidakkkk']","['itu', 'dengar', 'tidak', 'sih', 'pada', 'bilang', 'tidak']","['dengar', 'bilang']","['dengar', 'bilang']",dengar bilang,2.0,Positif
2026-05-01T10:34:28.000Z,"""TIDAKKKKK"" woilah 🗿",tiktok,tidakkkkk woilah,"['tidakkkkk', 'woilah']","['tidakkkkk', 'woilah']","['tidakkkkk', 'woilah']","['tidakkkkk', 'woilah']",tidakkkkk woilah,0.0,Netral
2026-05-05T09:08:51.000Z,@khatija Malik:plz sport Me follow me and sport you,tiktok,khatija malikplz sport me follow me and sport you,"['khatija', 'malikplz', 'sport', 'me', 'follow', 'me', 'and', 'sport', 'you']","['khatija', 'malikplz', 'sport', 'me', 'follow', 'me', 'and', 'sport', 'you']","['khatija', 'malikplz', 'sport', 'me', 'follow', 'me', 'and', 'sport', 'you']","['khatija', 'malikplz', 'sport', 'me', 'follow', 'me', 'and', 'sport', 'you']",khatija malikplz sport me follow me and sport you,0.0,Netral
2026-05-01T10:50:25.000Z,PENTINGG PENDIDIKAN!!!!,tiktok,pentingg pendidikan,"['pentingg', 'pendidikan']","['penting', 'pendidikan']",['pendidikan'],['didik'],didik,-3.0,Negatif
2026-05-01T10:03:55.000Z,ga bermanfaat krn aku ga kebagian,tiktok,ga bermanfaat krn aku ga kebagian,"['ga', 'bermanfaat', 'krn', 'aku', 'ga', 'kebagian']","['tidak', 'bermanfaat', 'karena', 'saya', 'tidak', 'kebagian']","['bermanfaat', 'kebagian']","['manfaat', 'bagi']",manfaat bagi,1.0,Positif
2026-05-01T12:19:40.000Z,[Sticker] jangan dihapus mbg pak saya mau nabung,tiktok,jangan dihapus mbg pak saya mau nabung,"['jangan', 'dihapus', 'mbg', 'pak', 'saya', 'mau', 'nabung']","['jangan', 'dihapus', 'mbg', 'pak', 'saya', 'mau', 'nabung']","['dihapus', 'mbg', 'nabung']","['hapus', 'mbg', 'nabung']",hapus mbg nabung,-3.0,Negatif
2026-05-01T13:32:07.000Z,salah pilih presiden,tiktok,salah pilih presiden,"['salah', 'pilih', 'presiden']","['salah', 'pilih', 'presiden']","['salah', 'pilih', 'presiden']","['salah', 'pilih', 'presiden']",salah pilih presiden,-3.0,Negatif
2026-05-02T06:07:45.000Z,cukup 1 periode....,tiktok,cukup  periode,"['cukup', 'periode']","['cukup', 'periode']",['periode'],['periode'],periode,0.0,Netral
2026-05-01T11:20:23.000Z,REAL SUARA RAKYAT GA DIDENGAR 😭,tiktok,real suara rakyat ga didengar,"['real', 'suara', 'rakyat', 'ga', 'didengar']","['real', 'suara', 'rakyat', 'tidak', 'didengar']","['real', 'suara', 'rakyat', 'didengar']","['real', 'suara', 'rakyat', 'dengar']",real suara rakyat dengar,3.0,Positif
2026-05-01T10:27:48.000Z,lebih gizian masakan ema gw dari pada MBG😂,tiktok,lebih gizian masakan ema gw dari pada mbg,"['lebih', 'gizian', 'masakan', 'ema', 'gw', 'dari', 'pada', 'mbg']","['lebih', 'gizian', 'masakan', 'emak', 'saya', 'dari', 'pada', 'mbg']","['gizian', 'masakan', 'emak', 'mbg']","['gizi', 'masakan', 'emak', 'mbg']",gizi masakan emak mbg,3.0,Positif
2026-05-05T04:56:16.000Z,owner mbg,tiktok,owner mbg,"['owner', 'mbg']","['owner', 'mbg']","['owner', 'mbg']","['owner', 'mbg']",owner mbg,0.0,Netral
2026-05-01T15:03:37.000Z,"[Sticker] jangan selesai plis, karena mbg aku bisa nabung🙏💔",tiktok,jangan selesai plis karena mbg aku bisa nabung,"['jangan', 'selesai', 'plis', 'karena', 'mbg', 'aku', 'bisa', 'nabung']","['jangan', 'selesai', 'plis', 'karena', 'mbg', 'saya', 'bisa', 'nabung']","['selesai', 'plis', 'mbg', 'nabung']","['selesai', 'plis', 'mbg', 'nabung']",selesai plis mbg nabung,-4.0,Negatif
