text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail
"seperti pembuat tempe/tahu yg tadinya hanya rumahan sekarang punya pabrik dan karyawan,begitu pun petani sayur yg tadinya bingung mau djual kmna sekarang punya pemasok dari program MBG,harga stabil dan ekonomi berputar di kabupaten/kota",2777,18,2025-10-22T04:05:50.000Z,w_rovan,https://www.tiktok.com/@merdekacom/video/7563649287918259476,6548477401393971201,7563892391020593921,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/2d92497c93766a090009aad5dfbcb384~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56a860fe&x-expires=1782226800&x-signature=OqDL99sElx%2Bdpiipx94KOKCwR7I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
"yang ga tau Rockefeller 😊
yang tau Rockefeller 💀🥺
agenda pemusnah massal otw tatanan dunia baru by 'elit global' ngilu dengernya",534,17,2025-10-23T08:40:58.000Z,guardianzxcv,https://www.tiktok.com/@merdekacom/video/7563649287918259476,6858015878828393474,7564334423282582280,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/9ca234a34c92fdc2fac776914a784bb7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f2779486&x-expires=1782226800&x-signature=6jqmBmbUBIEbuB%2BzrnVqQSoieNw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Alhamdulillah Pak dengan adanya MBG hasil pertanian kami ada harganya,504,0,2025-10-21T15:49:47.000Z,_purnama_303,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7150929334969795589,7563702753810432789,https://p19-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7150929827510353946~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d14bf9bb&x-expires=1782226800&x-signature=eyI1PTYxNeehmoWxtrEGpR%2FP5wA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
roda ekonomi berputar didesa2,230,0,2025-10-21T14:12:26.000Z,wong.bagus1054,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7428818582953821190,7563677671461765896,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/dbbc419e78d3aa22296eed54b64237a0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c0942e64&x-expires=1782226800&x-signature=7uXfg%2FVoREEwrsilvsbi1t34smY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Tuhan akan memberi rejeki kepada negara yang kasih makan anak2 kecil..,42,0,2025-10-21T18:01:39.000Z,ponster68,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7510644426747872274,7563736739131556626,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f186bd00615b6615d619ac237c1c84da~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=22964970&x-expires=1782226800&x-signature=afaTjXdszgcOglrmcOGZzmaot6o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
"Ternak ,petani ,umkm,pengusaha kecil,rumahan semua terdampak kemajuan ekonomi dengan adanya MBG ini🥰👍👏",91,1,2025-10-22T14:14:39.000Z,poolvilla127,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7193974595458843649,7564049321953035029,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/22873e1dfa5d22d00f6e412986bc49b6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=df6de331&x-expires=1782226800&x-signature=tJh%2BbyUxDDnwEX82%2BsV%2FnNJa%2BCc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
"semangat trus pk Prabowo...
sehat sehat panjang umur",48,2,2025-10-22T01:07:43.000Z,user1242267165481,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7353573592741299201,7563845697448067861,https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ab08ad5f&x-expires=1782226800&x-signature=%2BpQCRQ96OJt229x%2FQ6SqzJtSKNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
"Lihat pertumbuhan anak-anak di masa mendatang. Susu, protein, karbohidrat. tubuh mereka diberikan asupan yg cukup dan diperhatikan pemerintah. Dunia menyoroti kita. Langkah yg ditempuh Pak Prabowo sedikit menggertak dunia bahwa Pak Prabowo sedang mempersiapkan generasi yg baik di masa depan.",58,0,2025-10-23T09:09:59.000Z,kistymakeup,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7070870534440289307,7564341882685178625,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ff6220424efccc0e349411379b774c3f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=270de64d&x-expires=1782226800&x-signature=UWjlz1DBfZQI3itfGdbZmSfGAQI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
rockerfeler èlite global..,11,0,2025-10-21T22:33:20.000Z,bond007james73,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7092362154951836674,7563806656603554578,https://p19-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7092362729398206490~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0988a488&x-expires=1782226800&x-signature=uhhWaOn%2FF47dXttsWnXg75Sh37g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
semua petani dan peternak Alhamdulillah harganya bisa menetap tidak naik turung lagi,18,0,2025-10-21T23:16:15.000Z,nahuddin72,https://www.tiktok.com/@merdekacom/video/7563649287918259476,7493143097985434642,7563817767946781448,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6d6894c97e394a2fa435715e2235d408~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=700bf0e4&x-expires=1782226800&x-signature=GP94QoOIyF1E5WbI%2BXhAbi48g8U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
